Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDY07,11.8,0.052234102857142854,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,Dairy,144.1102,OUT046,1997,2187.153,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,Snack Foods,119.6782,OUT046,1997,2145.2076,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,1977.426,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,Breakfast,56.3614,OUT046,1997,1547.3192,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,OUT018,2009,1621.8888,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,Breakfast,54.3614,OUT049,1999,718.3982,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,Hard Drinks,113.2834,OUT027,1985,2303.668,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,Dairy,230.5352,OUT035,2004,2748.4224,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,Snack Foods,250.8724,OUT013,1987,3775.086,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.035399923,Baking Goods,144.5444,OUT027,1985,4064.0432,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698134,Household,196.5084,OUT035,2004,1587.2672,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,Baking Goods,107.6938,OUT019,1985,214.3876,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,Frozen Foods,165.021,OUT046,1997,4078.025,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,Household,45.90600000000001,OUT017,2007,838.908,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,1065.28,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356132,Hard Drinks,39.1164,OUT013,1987,308.9312,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,Dairy,45.5086,OUT010,1998,178.4344,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,Canned,43.6454,OUT019,1985,125.8362,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.170348551,Dairy,55.7956,OUT010,1998,163.7868,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,OUT018,2009,2741.7644,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.08556526183333334,Snack Foods,256.6672,OUT018,2009,3068.0064,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.14129689414285715,Breads,93.1436,OUT045,2002,2174.5028,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,Soft Drinks,174.8738,OUT046,1997,2085.2856,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,3791.0652,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,OUT018,2009,1609.9044,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.385000000000002,0.123111453,Snack Foods,36.9874,OUT027,1985,388.1614,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480954,Snack Foods,87.6198,OUT027,1985,2180.495,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,Dairy,230.6352,OUT046,1997,3435.528,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,Meat,126.002,OUT013,1987,2150.534,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,Snack Foods,192.9136,OUT049,1999,2527.3768,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.06910283099999999,Canned,259.9278,OUT018,2009,6768.5228,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867,Canned,126.5046,OUT013,1987,373.5138,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.08949892599999999,Dairy,178.1002,OUT010,1998,358.2004,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.021101573,Health and Hygiene,153.3024,OUT045,2002,2428.8384,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,Canned,265.2226,OUT045,2002,5815.0972,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,Baking Goods,60.622,OUT046,1997,2576.646,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,10.195,0.25539489600000004,Dairy,196.8794,OUT019,1985,780.3176,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,OUT046,1997,3134.5864,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,Frozen Foods,141.5154,OUT013,1987,850.8924,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,Canned,117.0492,OUT013,1987,810.9444,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760013,Household,151.4708,OUT017,2007,4815.0656,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,Snack Foods,249.0408,OUT018,2009,6258.52,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,Household,106.1622,OUT045,2002,2117.244,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,Hard Drinks,38.0506,OUT049,1999,796.9626,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.17348130399999998,Snack Foods,194.511,OUT046,1997,4910.275,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,5.94,0.061082177,Canned,180.0344,OUT019,1985,892.172,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0232488068,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,Meat,87.3514,OUT045,2002,1062.6168,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,Frozen Foods,51.0692,OUT019,1985,147.8076,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015519,Snack Foods,255.8356,OUT027,1985,2543.356,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,Snack Foods,185.4266,OUT010,1998,184.4266,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,Meat,172.5738,OUT035,2004,4865.6664,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,Dairy,186.024,OUT045,2002,1118.544,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,Soft Drinks,164.8526,OUT045,2002,2302.3364,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.14342264300000002,Health and Hygiene,95.841,OUT046,1997,2027.361,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.105296072,Snack Foods,170.1764,OUT046,1997,3435.528,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,Baking Goods,59.222,OUT013,1987,599.22,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.056988493333333334,Starchy Foods,164.7526,OUT045,2002,4604.6728,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,Canned,189.6188,OUT017,2007,2285.0256,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,Household,254.3698,OUT049,1999,5580.7356,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,Frozen Foods,114.0176,OUT046,1997,2290.3520000000008,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,Snack Foods,172.3422,OUT049,1999,1207.0954,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,13.35,0.113720344,Baking Goods,89.9804,OUT019,1985,643.1628,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.112556507,Frozen Foods,104.9622,OUT017,2007,1587.933,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.0434213736,Canned,222.5456,OUT045,2002,5305.0944,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.059352240999999986,Snack Foods,101.87,OUT046,1997,1697.79,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,Frozen Foods,180.3344,OUT046,1997,1427.4752,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,Snack Foods,187.9556,OUT018,2009,4693.89,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,18.85,0.293417759,Household,194.6136,OUT019,1985,583.2408,28,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,12.6,0.031382044,Baking Goods,171.3764,OUT027,1985,3091.9752,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403898,Fruits and Vegetables,160.99200000000005,OUT035,2004,2716.4640000000004,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.039057677,Breakfast,155.963,OUT027,1985,3285.723,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,Snack Foods,95.6436,OUT046,1997,661.8052,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,Meat,117.2808,OUT049,1999,1523.3504,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,369.519,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.105274111,Dairy,39.9138,OUT049,1999,690.4346,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,Soft Drinks,55.1614,OUT045,2002,1381.535,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,622.523,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,OUT035,2004,1274.3412,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,7.93,0.009714595,Frozen Foods,120.0414,OUT019,1985,487.3656,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,Frozen Foods,246.046,OUT049,1999,1231.73,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.15,0.028459761,Household,149.9708,OUT027,1985,4363.6532,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,Frozen Foods,151.0708,OUT045,2002,1805.6496,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,20.6,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,2854.9504,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.115857223,Snack Foods,179.1028,OUT049,1999,3896.2616,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806,Soft Drinks,38.7822,OUT013,1987,667.7974,26,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,Snack Foods,212.0902,OUT018,2009,3185.853,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.0467696,Canned,141.1838,OUT013,1987,2247.7408,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.116576702,Baking Goods,163.121,OUT013,1987,1794.331,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.004224196666666667,Baking Goods,121.3098,OUT045,2002,2530.7058,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,9.395,0.278974075,Soft Drinks,225.372,OUT019,1985,679.1160000000001,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,Soft Drinks,41.4138,OUT013,1987,812.2760000000002,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,Dairy,232.53,OUT046,1997,699.09,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,Frozen Foods,102.4016,OUT017,2007,2732.4432,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,6.69,0.064625342,Meat,176.937,OUT019,1985,176.437,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.071636937,Snack Foods,121.7098,OUT027,1985,4097.3332,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.07503556575,Breads,173.2054,OUT045,2002,3151.8972,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,5942.265,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,OUT017,2007,4843.695,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,Snack Foods,109.0228,OUT035,2004,2542.0244,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,Soft Drinks,140.3154,OUT017,2007,2552.6772,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,Snack Foods,227.0694,OUT018,2009,1141.847,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,Household,47.5034,OUT017,2007,680.4476,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,OUT045,2002,2085.9514,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,Canned,92.512,OUT010,1998,186.424,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,Canned,190.153,OUT035,2004,3036.048,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014,Breads,62.7194,OUT017,2007,866.8716,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,Frozen Foods,95.041,OUT035,2004,868.8689999999998,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,Soft Drinks,82.4276,OUT046,1997,1137.1864,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,Dairy,52.7956,OUT017,2007,928.1252,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,762.341,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,Household,40.2822,OUT045,2002,707.0796,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.033809913,Canned,180.5976,OUT027,1985,7968.2944,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,Household,160.292,OUT046,1997,1438.128,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,12.15,0.144338493,Health and Hygiene,224.4404,OUT027,1985,6976.2524,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,Frozen Foods,101.7016,OUT010,1998,101.2016,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,Canned,188.5188,OUT018,2009,952.094,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,Household,116.0492,OUT046,1997,1969.4364,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.059956876,Starchy Foods,165.4526,OUT027,1985,5262.4832,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,Dairy,60.5852,OUT045,2002,1314.2892,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,Others,132.1284,OUT010,1998,263.6568,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
